line,priority,change_type,target_class,current_text,action,target_pattern,notes
6500,high,normalize_placeholder_line,placeholder,{{PH-3: U22-G3-clean-copy}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U22-G3-clean-copy}}
:::",Preserve the placeholder token exactly.
6504,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6517,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6518,high,normalize_placeholder_line,placeholder,{{PH-4: U22-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U22-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
6520,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6548,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Discussion Questions (A1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Discussion Questions — Activity Focus (A1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6560,high,standardize_activity_heading,activity-heading,#### Compare Two Versions — Exemplar Analysis (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Exemplar Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6603,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** Response B succeeds because it integrates multiple course-level skills at once: synthesis across inputs, neutral administrative tone, grouped issue reporting, and action-focused next steps. The response is strong not because it is longer, but because each sentence performs a clear professional function.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
6621,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
6639,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Use this revision step to check your writing against the major skill strands of the course: synthesis, tone control, justification, structure, and action clarity. If one strand is weak, revise that strand deliberately rather than editing randomly.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
6660,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
6661,high,normalize_placeholder_line,placeholder,{{PH-3: U23-D6-revision-chain}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U23-D6-revision-chain}}
:::",Preserve the placeholder token exactly.
6665,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Multi-Part Portfolio Task (E4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Multi-Part Portfolio Task — Activity Focus (E4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6667,medium,review_blockquote_label,learn-note,"> **Planning reminder:** The strongest capstone responses start by choosing a format that matches the supervisor’s stated need, then grouping issues thematically before drafting any sentences.",Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
6671,medium,normalize_bold_structural_label,semantic-label,"**Part A — Planning (not submitted):** Write a brief planning note identifying: the main issues, the intended audience, and the document format you will use.",Convert bold structural label to compact label style or Div if block-level,**Part a — Planning (not Submitted):** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6673,medium,normalize_bold_structural_label,semantic-label,**Part B — Full Administrative Document (300–350 words):** Write your response. Choose the format most appropriate for the scenario:,Convert bold structural label to compact label style or Div if block-level,**Part B — Full Administrative Document (300–350 Words):** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6691,high,normalize_placeholder_line,placeholder,**Planning Notes (Not Submitted)**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Planning Notes 
:::",Preserve placeholder token exactly if present.
6692,high,normalize_placeholder_line,placeholder,{{PH-1: U23-E4-part-a-planning}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-1: U23-E4-part-a-planning}}
:::",Preserve the placeholder token exactly.
6697,high,normalize_placeholder_line,placeholder,{{PH-4: U23-E4-part-b-capstone-document}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U23-E4-part-b-capstone-document}}
:::",Preserve the placeholder token exactly.
6701,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Assessment Rubric (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Assessment Rubric — Activity Focus (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6703,medium,convert_blockquote_to_learn_div,learn-note,"> **Rubric note:** These categories reflect the book's major skill strands: meeting the brief, handling source material, synthesising information, showing judgment, proposing actions, controlling tone, structuring ideas, and writing precisely. Use the rubric to diagnose how well your capstone response brings those strands together.",Convert general note to semantic Learn Div,"::: learn-note
**Learn — Rubric Note:** ...
:::",General explanatory annotation.
6739,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Track-Change Simulation (G3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Track-Change Simulation — Activity Focus (G3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6750,high,normalize_placeholder_line,placeholder,**Clean Copy**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Final Version 
:::",Preserve placeholder token exactly if present.
6751,high,normalize_placeholder_line,placeholder,{{PH-3: U23-G3-clean-copy}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U23-G3-clean-copy}}
:::",Preserve the placeholder token exactly.
6755,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6768,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6769,high,normalize_placeholder_line,placeholder,{{PH-4: U23-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U23-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
6771,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6782,high,fix_heading_hierarchy,heading,# Unit 23 Capstone Assessment Rubric,Demote inconsistent top-level heading,## Unit 23 Capstone Assessment Rubric,Only one # should exist at book title level; this rubric heading should not be top-level.
6783,high,fix_rubric_subheading_hierarchy,heading,"## Administrative Writing, Advanced",Demote rubric subsection heading,"### Administrative Writing, Advanced","These are rubric subsections, not module/unit-level headings."
6789,high,fix_rubric_subheading_hierarchy,heading,## How To Use This Rubric,Demote rubric subsection heading,### How To Use This Rubric,"These are rubric subsections, not module/unit-level headings."
6801,high,fix_rubric_subheading_hierarchy,heading,## Where To Send Students For Review,Demote rubric subsection heading,### Where To Send Students For Review,"These are rubric subsections, not module/unit-level headings."
6816,high,fix_rubric_subheading_hierarchy,heading,## Note On The Earlier Ten-Item Version,Demote rubric subsection heading,### Note On The Earlier Ten-Item Version,"These are rubric subsections, not module/unit-level headings."
